Date,Open,High,Low,Close,Adj Close,Volume
,9.530000000000001,9.7775,9.1375,9.212500000000002,9.212500000000002,4102800
2020-10-06,9.56,9.84,9.1,9.13,9.13,4535400
,9.4775,9.77,9.1175,9.1875,9.1875,4228700
,9.395,9.7,9.135,9.245000000000001,9.245000000000001,3922000
,9.3125,9.629999999999999,9.1525,9.3025,9.3025,3615300
2020-10-07,9.23,9.56,9.17,9.36,9.36,3308600
,9.307500000000001,10.580000000000002,9.175,10.3925,10.3925,21594850
,9.385,11.600000000000001,9.18,11.425,11.425,39881100
,9.462499999999999,12.620000000000001,9.184999999999999,12.4575,12.4575,58167350
2020-10-08,9.54,13.64,9.19,13.49,13.49,76453600
,10.362499999999999,13.93,9.8675,13.122499999999999,13.122499999999999,76628400
,11.184999999999999,14.22,10.545,12.754999999999999,12.754999999999999,76803200
,12.0075,14.510000000000002,11.2225,12.3875,12.3875,76978000
2020-10-09,12.83,14.8,11.9,12.02,12.02,77152800
,12.537500000000001,14.2925,11.775,11.965,11.965,63778525
,12.245000000000001,13.785,11.65,11.91,11.91,50404250
,11.9525,13.2775,11.525,11.855,11.855,37029975
2020-10-12,11.66,12.77,11.4,11.8,11.8,23655700
,11.6775,12.6825,11.4625,11.82,11.82,20286700
,11.695,12.594999999999999,11.525,11.84,11.84,16917700
,11.7125,12.5075,11.5875,11.86,11.86,13548700
2020-10-13,11.73,12.42,11.65,11.88,11.88,10179700
,11.965,12.485,11.75,11.9725,11.9725,10325125
,12.2,12.55,11.850000000000001,12.065000000000001,12.065000000000001,10470550
,12.434999999999999,12.615,11.950000000000001,12.1575,12.1575,10615975
2020-10-14,12.67,12.68,12.05,12.25,12.25,10761400
,12.5,13.285,12.035,12.645,12.645,18044750
,12.33,13.89,12.02,13.04,13.04,25328100
,12.16,14.495000000000001,12.004999999999999,13.434999999999999,13.434999999999999,32611450
2020-10-15,11.99,15.1,11.99,13.83,13.83,39894800
,12.434999999999999,14.8,12.2625,13.7,13.7,32834000
,12.879999999999999,14.5,12.535,13.57,13.57,25773200
,13.325,14.2,12.807500000000001,13.440000000000001,13.440000000000001,18712400
2020-10-16,13.77,13.9,13.08,13.31,13.31,11651600
,13.6875,14.05,13.155000000000001,13.46,13.46,12030975
,13.605,14.2,13.23,13.61,13.61,12410350
,13.5225,14.35,13.305,13.76,13.76,12789725
2020-10-19,13.44,14.5,13.38,13.91,13.91,13169100
,13.587499999999999,14.41,13.4525,13.8975,13.8975,11527825
,13.735,14.32,13.525,13.885,13.885,9886550
,13.8825,14.23,13.5975,13.872499999999999,13.872499999999999,8245275
2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000
,13.997499999999999,14.21,13.7025,13.92,13.92,6293475
,13.965,14.280000000000001,13.735,13.98,13.98,5982950
,13.932500000000001,14.350000000000001,13.7675,14.04,14.04,5672425
2020-10-21,13.9,14.42,13.8,14.1,14.1,5361900
,13.975000000000001,14.782499999999999,13.8975,14.302499999999998,14.302499999999998,8074475
,14.05,15.145,13.995000000000001,14.504999999999999,14.504999999999999,10787050
,14.125,15.5075,14.092500000000001,14.7075,14.7075,13499625
2020-10-22,14.2,15.87,14.19,14.91,14.91,16212200
,14.4125,15.747499999999999,14.280000000000001,14.932500000000001,14.932500000000001,13785975
,14.625,15.625,14.370000000000001,14.955,14.955,11359750
,14.8375,15.502500000000001,14.46,14.9775,14.9775,8933525
2020-10-23,15.05,15.38,14.55,15,15,6507300
,15.02,15.3975,14.227500000000001,14.6125,14.6125,8224550
,14.99,15.415,13.905000000000001,14.225,14.225,9941800
,14.96,15.4325,13.5825,13.837499999999999,13.837499999999999,11659050
2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300
,14.625,15.015,13.035,13.26,13.26,11839975
,14.32,14.58,12.809999999999999,13.07,13.07,10303650
,14.015,14.145,12.584999999999999,12.879999999999999,12.879999999999999,8767325
2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000
,13.350000000000001,13.545000000000002,12.215,12.4725,12.4725,7020400
,12.99,13.38,12.07,12.254999999999999,12.254999999999999,6809800
,12.629999999999999,13.215,11.925,12.0375,12.0375,6599200
2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600
,12.1725,12.850000000000001,11.754999999999999,11.7975,11.7975,5832900
,12.075,12.65,11.73,11.775,11.775,5277200
,11.9775,12.45,11.705,11.752500000000001,11.752500000000001,4721500
2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800
,11.82,12.0975,11.35,11.415000000000001,11.415000000000001,6011075
,11.760000000000002,11.945,11.02,11.100000000000001,11.100000000000001,7856350
,11.700000000000001,11.7925,10.69,10.785,10.785,9701625
2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900
,11.435,11.502500000000001,10.395,10.54,10.54,9966925
